,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6536356580166821,0.28266538231202265,0.0,1.0,8632,0.3066305607043559,0.29068657332869174,0.0,1.0,8632,0.31432912418906395,0.35317840760440333,0.0,1.0,8632,0.1595177247451344,0.24791658379569184,0.0,1.0,8632,0.10431661260426321,0.1914784915068488,0.0,1.0,8632,0.1624017608897127,0.24961704574740048,0.0,1.0,8632,0.15430305838739572,0.2757664246829534,0.0,1.0,8632,0.13300938368860055,0.22993001263476137,0.0,1.0,8632,0.41340755329008344,0.31127438285803466,0.0,1.0,8632
0,0.8208947368421052,0.09331481645891089,0.562,0.955,19,0.12173684210526317,0.1067337508347358,0.023,0.438,19,0.047,0.12714340110459704,0.0,0.5,19,0.10373684210526317,0.25938920608598603,0.0,0.917,19,0.051157894736842104,0.1316684654551789,0.0,0.5,19,0.02336842105263158,0.10186058583852942,0.0,0.444,19,0.24005263157894738,0.3139926527244105,0.0,1.0,19,0.0,0.0,0.0,0.0,19,0.7143157894736841,0.297304006892978,0.0,1.0,19
1,0.8325,0.11227799801033728,0.377,0.951,44,0.12477272727272727,0.11239545294873722,0.0,0.585,44,0.10222727272727274,0.15907346023309024,0.0,0.517,44,0.08995454545454545,0.1849014765364787,0.0,1.0,44,0.15329545454545454,0.24706458806662837,0.0,1.0,44,0.16204545454545455,0.23406160534170792,0.0,1.0,44,0.14325,0.2867060016730533,0.0,1.0,44,0.10781818181818181,0.22851881737461308,0.0,1.0,44,0.5179545454545454,0.33180681929052575,0.0,1.0,44
2,0.8578,0.06890594003007702,0.717,0.951,15,0.09899999999999999,0.07284327599128733,0.019,0.239,15,0.094,0.1616429044883461,0.0,0.5,15,0.15106666666666665,0.2852894436649675,0.0,1.0,15,0.05393333333333334,0.11910227697635502,0.0,0.333,15,0.11506666666666666,0.2666234548322159,0.0,1.0,15,0.06746666666666666,0.14371443245282672,0.0,0.429,15,0.1,0.2803059552906941,0.0,1.0,15,0.56,0.33714600482792106,0.0,1.0,15
3,0.8301014492753623,0.09933679268137086,0.372,0.958,69,0.12042028985507246,0.09212066987143443,0.021,0.512,69,0.13666666666666666,0.22548670670786952,0.0,1.0,69,0.12992753623188405,0.25169404389179595,0.0,1.0,69,0.10285507246376813,0.17340824623874618,0.0,0.579,69,0.127231884057971,0.22380776578859024,0.0,1.0,69,0.07820289855072464,0.2106000237214489,0.0,1.0,69,0.2331594202898551,0.3351635958395983,0.0,1.0,69,0.4812608695652174,0.3175091315117573,0.0,1.0,69
4,0.4688210526315789,0.2519049964007188,0.0,0.905,95,0.5049473684210526,0.2559019662866702,0.065,0.977,95,0.23011578947368422,0.36293428463126254,0.0,1.0,95,0.14388421052631578,0.2836466134890121,0.0,1.0,95,0.0798842105263158,0.1753269203612482,0.0,1.0,95,0.15409473684210526,0.26692349185472486,0.0,1.0,95,0.08216842105263159,0.2080794985469869,0.0,1.0,95,0.10348421052631579,0.21080508609259974,0.0,1.0,95,0.09121052631578946,0.20094256058380303,0.0,1.0,95
5,0.8291081081081081,0.05510635362832682,0.711,0.956,37,0.09062162162162161,0.0472994898676692,0.022,0.205,37,0.10264864864864864,0.1473936935587846,0.0,0.5,37,0.04186486486486486,0.07672322629721363,0.0,0.222,37,0.1561081081081081,0.18245757250869518,0.0,0.615,37,0.12754054054054054,0.2512433077709727,0.0,1.0,37,0.02548648648648649,0.06906986061695539,0.0,0.25,37,0.03627027027027027,0.08594269688081209,0.0,0.333,37,0.5702432432432433,0.3050964697531845,0.0,1.0,37
6,0.5475968778696051,0.27543060209629155,0.0,0.978,1089,0.40558310376492196,0.28167585525714306,0.0,1.0,1089,0.42543526170798895,0.3445905094407645,0.0,1.0,1089,0.17963820018365473,0.23822435485333368,0.0,1.0,1089,0.06468411386593205,0.13423598258773928,0.0,1.0,1089,0.18455096418732783,0.20972469572678096,0.0,1.0,1089,0.07291919191919193,0.17602322939766127,0.0,1.0,1089,0.3592011019283747,0.2821432953597012,0.0,1.0,1089,0.11060238751147843,0.17062699803234493,0.0,1.0,1089
