asset_id,cluster,umap_x,umap_y,smooth,disk,spiral,bar,merger,disturbed,ring,irregular,bulge
260773,-1,4.3264756,7.5417666,0.688,0.312,0.6,0.2,0.0,0.0,0.0,0.2,0.3
208868,-1,1.6093026,7.712535,0.922,0.059,0.0,0.0,1.0,0.0,0.0,0.0,1.0
204909,-1,6.5597606,5.358031,0.188,0.792,0.853,0.735,0.042,0.208,0.208,0.542,0.324
284707,-1,2.2168157,6.4491277,0.426,0.574,0.5,0.5,0.0,0.0,0.0,0.0,0.5
151005,-1,7.7497706,7.3540564,0.6,0.32,0.375,0.0,0.0,0.353,0.118,0.294,0.0
8862,-1,2.0970514,5.912363,0.864,0.091,0.0,0.25,0.333,0.0,0.0,0.0,0.75
253877,-1,7.867738,7.63336,0.535,0.372,0.6,0.0,0.176,0.176,0.059,0.412,0.2
61098,-1,4.6985393,5.1731944,0.156,0.822,1.0,0.118,0.0,0.0,0.5,0.25,0.647
31475,1,10.545425,6.01994,0.613,0.323,0.2,0.1,0.154,0.0,0.0,0.462,0.0
65850,-1,1.9048498,3.956898,0.895,0.079,0.667,0.0,0.222,0.0,0.0,0.0,1.0
190766,-1,9.661481,6.3770957,0.857,0.102,0.6,0.0,0.0,0.667,0.333,0.0,0.2
229179,-1,8.347682,6.5474205,0.25,0.714,0.833,0.833,0.2,0.4,0.0,0.2,0.056
24360,-1,2.5317464,3.2091181,0.783,0.152,0.0,0.0,0.0,0.5,0.0,0.5,0.833
245917,0,0.45216405,3.1488142,0.911,0.044,0.0,0.5,0.0,0.0,0.0,0.0,0.5
88930,-1,4.593961,7.005286,0.667,0.303,1.0,0.091,0.0,0.333,0.0,0.333,0.091
81771,-1,-0.110617496,2.8650193,0.822,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.833
284171,-1,4.5344377,5.229658,0.125,0.875,0.683,0.976,0.0,0.04,0.8,0.04,0.512
217983,-1,2.4874516,3.251138,0.822,0.133,0.4,0.6,0.091,0.364,0.0,0.545,0.8
160577,-1,5.9718976,7.288132,0.654,0.346,0.0,0.0,0.0,0.333,0.0,0.333,0.0
92629,-1,1.8649163,2.6894789,0.769,0.205,0.375,0.0,0.0,0.0,0.0,0.0,0.375
251097,-1,9.085839,6.8391447,0.459,0.432,0.312,0.188,0.062,0.125,0.062,0.562,0.125
190610,-1,0.71799123,5.6584206,0.978,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
116363,-1,0.88952374,2.9652736,0.902,0.049,0.0,0.0,0.125,0.0,0.0,0.0,0.5
294752,-1,5.979326,8.255682,0.6,0.35,0.538,0.077,0.0,0.0,0.5,0.0,0.692
114032,-1,5.687559,6.8272166,0.184,0.789,0.909,0.182,0.0,0.167,0.167,0.333,0.591
263888,1,9.677011,6.648865,0.528,0.444,0.364,0.273,0.0,0.182,0.0,0.636,0.0
69224,-1,3.99376,2.5163958,0.692,0.256,0.2,0.0,0.0,0.0,0.3,0.0,0.8
153423,0,0.7082893,4.19231,0.909,0.045,0.5,0.0,0.0,0.0,0.0,0.0,1.0
217501,-1,4.989619,3.630101,0.2,0.8,0.071,0.286,0.0,0.0,1.0,0.0,0.786
89731,-1,5.5125074,6.007438,0.55,0.45,0.444,0.0,0.133,0.333,0.0,0.267,0.222
206163,-1,1.0796813,4.218835,0.702,0.234,0.0,0.25,0.211,0.211,0.026,0.474,0.375
4836,-1,8.604518,5.468745,0.857,0.143,0.167,0.167,0.231,0.077,0.077,0.538,0.0
212408,-1,3.3293269,8.857252,0.451,0.529,0.667,0.667,0.0,0.0,0.0,0.0,0.0
214386,-1,3.8405206,5.2345595,0.878,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.75
123193,-1,1.8401332,4.8953443,0.94,0.02,0.0,0.0,0.25,0.25,0.0,0.0,0.0
113103,-1,1.196353,6.8985744,0.795,0.182,0.25,0.0,0.0,0.5,0.0,0.0,0.5
232973,-1,0.7107333,6.4041085,0.886,0.091,0.0,0.0,0.0,0.5,0.0,0.25,0.667
241589,-1,2.983017,4.3237457,0.787,0.17,0.0,0.0,0.167,0.0,0.167,0.0,0.5
169539,-1,2.1060543,4.9524055,0.897,0.103,0.0,0.25,0.0,0.0,0.5,0.5,0.5
20845,-1,0.4278109,4.689254,0.867,0.133,0.333,0.167,0.0,0.333,0.0,0.0,0.167
20250,-1,3.6697648,4.991271,0.905,0.048,0.0,0.0,0.0,0.0,0.375,0.0,0.5
131429,-1,1.6035036,3.9175763,0.833,0.133,0.25,0.0,0.0,0.0,0.0,0.0,0.5
86859,-1,4.717476,7.1918187,0.707,0.195,0.0,0.143,0.5,0.1,0.0,0.2,0.571
119532,-1,1.9621717,4.674012,0.915,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263426,1,9.7514105,5.0986648,0.63,0.239,0.0,0.0,0.167,0.125,0.0,0.583,0.0
141695,-1,5.5104165,4.154001,0.108,0.892,0.7,0.533,0.0,0.056,0.778,0.056,0.4
271652,-1,0.7415733,4.067435,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0
237440,-1,2.386621,6.746378,0.955,0.045,0.0,0.0,0.0,0.4,0.2,0.0,1.0
47065,-1,2.504406,1.8241347,0.692,0.282,0.0,0.571,0.636,0.0,0.0,0.061,0.714
235210,-1,2.722236,2.3179219,0.849,0.075,0.0,0.0,0.0,0.0,0.5,0.0,0.75
168423,-1,1.1737373,2.0618968,0.787,0.191,0.0,0.0,0.125,0.667,0.0,0.0,0.333
