asset_id,cluster,umap_x,umap_y,smooth,disk,spiral,bar,merger,disturbed,ring,irregular,bulge
260773,-1,7.8075204,2.9745364,0.688,0.312,0.6,0.2,0.0,0.0,0.0,0.2,0.3
208868,-1,12.629411,5.987097,0.922,0.059,0.0,0.0,1.0,0.0,0.0,0.0,1.0
204909,-1,8.510533,-0.3532213,0.188,0.792,0.853,0.735,0.042,0.208,0.208,0.542,0.324
284707,1,10.609814,2.4444368,0.426,0.574,0.5,0.5,0.0,0.0,0.0,0.0,0.5
151005,-1,3.2594378,1.09442,0.6,0.32,0.375,0.0,0.0,0.353,0.118,0.294,0.0
8862,-1,12.486106,5.743222,0.864,0.091,0.0,0.25,0.333,0.0,0.0,0.0,0.75
253877,-1,4.287193,-0.18227108,0.535,0.372,0.6,0.0,0.176,0.176,0.059,0.412,0.2
61098,-1,10.590348,2.633171,0.156,0.822,1.0,0.118,0.0,0.0,0.5,0.25,0.647
31475,1,-1.0290905,1.6657983,0.613,0.323,0.2,0.1,0.154,0.0,0.0,0.462,0.0
65850,1,9.961073,5.3346996,0.895,0.079,0.667,0.0,0.222,0.0,0.0,0.0,1.0
190766,1,1.5578856,0.9239804,0.857,0.102,0.6,0.0,0.0,0.667,0.333,0.0,0.2
229179,1,2.9820125,0.009032208,0.25,0.714,0.833,0.833,0.2,0.4,0.0,0.2,0.056
24360,-1,10.666968,3.62337,0.783,0.152,0.0,0.0,0.0,0.5,0.0,0.5,0.833
245917,1,11.886621,8.597124,0.911,0.044,0.0,0.5,0.0,0.0,0.0,0.0,0.5
88930,-1,6.5813217,2.1829817,0.667,0.303,1.0,0.091,0.0,0.333,0.0,0.333,0.091
81771,1,11.976999,9.157793,0.822,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.833
284171,-1,11.618553,5.475601,0.125,0.875,0.683,0.976,0.0,0.04,0.8,0.04,0.512
217983,1,9.259405,6.8613315,0.822,0.133,0.4,0.6,0.091,0.364,0.0,0.545,0.8
160577,1,4.792161,1.9494487,0.654,0.346,0.0,0.0,0.0,0.333,0.0,0.333,0.0
92629,-1,13.43551,6.2112403,0.769,0.205,0.375,0.0,0.0,0.0,0.0,0.0,0.375
251097,1,1.0118324,1.1004684,0.459,0.432,0.312,0.188,0.062,0.125,0.062,0.562,0.125
190610,1,8.073272,8.418969,0.978,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
116363,-1,12.698734,6.85149,0.902,0.049,0.0,0.0,0.125,0.0,0.0,0.0,0.5
294752,-1,6.9900613,1.0064055,0.6,0.35,0.538,0.077,0.0,0.0,0.5,0.0,0.692
114032,-1,9.05632,1.0708635,0.184,0.789,0.909,0.182,0.0,0.167,0.167,0.333,0.591
263888,1,0.41068277,1.4041619,0.528,0.444,0.364,0.273,0.0,0.182,0.0,0.636,0.0
69224,1,13.740474,5.063932,0.692,0.256,0.2,0.0,0.0,0.0,0.3,0.0,0.8
153423,-1,11.499997,8.409992,0.909,0.045,0.5,0.0,0.0,0.0,0.0,0.0,1.0
217501,-1,13.233043,5.5537963,0.2,0.8,0.071,0.286,0.0,0.0,1.0,0.0,0.786
89731,-1,8.905436,3.8706815,0.55,0.45,0.444,0.0,0.133,0.333,0.0,0.267,0.222
206163,1,7.977539,7.5705814,0.702,0.234,0.0,0.25,0.211,0.211,0.026,0.474,0.375
4836,1,3.3269458,1.5394634,0.857,0.143,0.167,0.167,0.231,0.077,0.077,0.538,0.0
212408,1,10.018324,1.8089507,0.451,0.529,0.667,0.667,0.0,0.0,0.0,0.0,0.0
214386,-1,12.784578,6.2078676,0.878,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.75
123193,-1,14.083811,5.259946,0.94,0.02,0.0,0.0,0.25,0.25,0.0,0.0,0.0
113103,-1,6.1322484,6.004875,0.795,0.182,0.25,0.0,0.0,0.5,0.0,0.0,0.5
232973,-1,8.061063,7.34552,0.886,0.091,0.0,0.0,0.0,0.5,0.0,0.25,0.667
241589,1,13.412371,4.2295365,0.787,0.17,0.0,0.0,0.167,0.0,0.167,0.0,0.5
169539,1,13.3963585,3.6902833,0.897,0.103,0.0,0.25,0.0,0.0,0.5,0.5,0.5
20845,-1,8.425548,7.3988404,0.867,0.133,0.333,0.167,0.0,0.333,0.0,0.0,0.167
20250,-1,10.597366,3.9521022,0.905,0.048,0.0,0.0,0.0,0.0,0.375,0.0,0.5
131429,-1,13.74259,5.5821376,0.833,0.133,0.25,0.0,0.0,0.0,0.0,0.0,0.5
