asset_id,cluster,umap_x,umap_y,smooth,disk,spiral,bar,merger,disturbed,ring,irregular,bulge
260773,-1,7.1477118,3.5350409,0.688,0.312,0.6,0.2,0.0,0.0,0.0,0.2,0.3
208868,-1,12.6821785,5.202603,0.922,0.059,0.0,0.0,1.0,0.0,0.0,0.0,1.0
204909,-1,8.523322,0.23801155,0.188,0.792,0.853,0.735,0.042,0.208,0.208,0.542,0.324
284707,19,9.512075,3.3325381,0.426,0.574,0.5,0.5,0.0,0.0,0.0,0.0,0.5
151005,-1,2.7347798,1.5047792,0.6,0.32,0.375,0.0,0.0,0.353,0.118,0.294,0.0
8862,-1,12.493861,4.6586375,0.864,0.091,0.0,0.25,0.333,0.0,0.0,0.0,0.75
253877,-1,3.74475,0.2563617,0.535,0.372,0.6,0.0,0.176,0.176,0.059,0.412,0.2
61098,-1,9.769407,2.2576861,0.156,0.822,1.0,0.118,0.0,0.0,0.5,0.25,0.647
31475,19,-1.5796648,1.9407221,0.613,0.323,0.2,0.1,0.154,0.0,0.0,0.462,0.0
65850,-1,9.535086,5.5355954,0.895,0.079,0.667,0.0,0.222,0.0,0.0,0.0,1.0
190766,19,1.112005,1.3964806,0.857,0.102,0.6,0.0,0.0,0.667,0.333,0.0,0.2
229179,-1,2.446396,0.44540197,0.25,0.714,0.833,0.833,0.2,0.4,0.0,0.2,0.056
24360,-1,10.618608,3.1076486,0.783,0.152,0.0,0.0,0.0,0.5,0.0,0.5,0.833
245917,19,11.821995,7.9630256,0.911,0.044,0.0,0.5,0.0,0.0,0.0,0.0,0.5
88930,-1,5.842326,2.5492723,0.667,0.303,1.0,0.091,0.0,0.333,0.0,0.333,0.091
81771,19,12.158009,8.645969,0.822,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.833
284171,-1,11.5341625,5.1704307,0.125,0.875,0.683,0.976,0.0,0.04,0.8,0.04,0.512
217983,-1,9.040056,7.176869,0.822,0.133,0.4,0.6,0.091,0.364,0.0,0.545,0.8
160577,-1,4.1085095,2.3737705,0.654,0.346,0.0,0.0,0.0,0.333,0.0,0.333,0.0
92629,-1,13.027732,5.6297517,0.769,0.205,0.375,0.0,0.0,0.0,0.0,0.0,0.375
251097,-1,0.5072597,1.6202313,0.459,0.432,0.312,0.188,0.062,0.125,0.062,0.562,0.125
190610,10,8.040218,8.95588,0.978,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
116363,-1,12.733999,5.794737,0.902,0.049,0.0,0.0,0.125,0.0,0.0,0.0,0.5
294752,-1,6.361799,1.2890915,0.6,0.35,0.538,0.077,0.0,0.0,0.5,0.0,0.692
114032,-1,8.48275,1.4887197,0.184,0.789,0.909,0.182,0.0,0.167,0.167,0.333,0.591
263888,19,-0.1738183,1.8723977,0.528,0.444,0.364,0.273,0.0,0.182,0.0,0.636,0.0
69224,-1,11.498729,5.59099,0.692,0.256,0.2,0.0,0.0,0.0,0.3,0.0,0.8
153423,-1,11.549017,7.9426656,0.909,0.045,0.5,0.0,0.0,0.0,0.0,0.0,1.0
217501,-1,13.2207775,4.2392626,0.2,0.8,0.071,0.286,0.0,0.0,1.0,0.0,0.786
89731,-1,8.610372,4.4440117,0.55,0.45,0.444,0.0,0.133,0.333,0.0,0.267,0.222
206163,-1,8.083877,7.939442,0.702,0.234,0.0,0.25,0.211,0.211,0.026,0.474,0.375
4836,19,2.821886,1.9404879,0.857,0.143,0.167,0.167,0.231,0.077,0.077,0.538,0.0
212408,19,9.183997,2.4064708,0.451,0.529,0.667,0.667,0.0,0.0,0.0,0.0,0.0
214386,-1,12.712511,5.27922,0.878,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.75
123193,-1,11.708034,6.3662825,0.94,0.02,0.0,0.0,0.25,0.25,0.0,0.0,0.0
113103,-1,5.9942956,6.783127,0.795,0.182,0.25,0.0,0.0,0.5,0.0,0.0,0.5
232973,-1,8.048021,8.158393,0.886,0.091,0.0,0.0,0.0,0.5,0.0,0.25,0.667
241589,-1,10.6768465,5.093196,0.787,0.17,0.0,0.0,0.167,0.0,0.167,0.0,0.5
169539,-1,10.7193,4.5220985,0.897,0.103,0.0,0.25,0.0,0.0,0.5,0.5,0.5
20845,-1,8.371305,7.995693,0.867,0.133,0.333,0.167,0.0,0.333,0.0,0.0,0.167
20250,-1,10.262178,3.6669576,0.905,0.048,0.0,0.0,0.0,0.0,0.375,0.0,0.5
131429,-1,11.845948,5.9574933,0.833,0.133,0.25,0.0,0.0,0.0,0.0,0.0,0.5
86859,-1,8.364676,5.084236,0.707,0.195,0.0,0.143,0.5,0.1,0.0,0.2,0.571
119532,-1,8.867449,9.509821,0.915,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263426,19,-0.44757974,2.1411211,0.63,0.239,0.0,0.0,0.167,0.125,0.0,0.583,0.0
141695,-1,11.31793,2.68884,0.108,0.892,0.7,0.533,0.0,0.056,0.778,0.056,0.4
271652,-1,10.536522,8.947879,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0
237440,-1,10.012599,4.34322,0.955,0.045,0.0,0.0,0.0,0.4,0.2,0.0,1.0
47065,6,11.391236,4.2696357,0.692,0.282,0.0,0.571,0.636,0.0,0.0,0.061,0.714
235210,-1,8.1967325,8.278221,0.849,0.075,0.0,0.0,0.0,0.0,0.5,0.0,0.75
168423,-1,10.082367,8.873637,0.787,0.191,0.0,0.0,0.125,0.667,0.0,0.0,0.333
21444,-1,10.800709,8.968109,0.791,0.186,0.0,0.0,0.447,0.053,0.0,0.0,0.625
90911,-1,9.496765,8.63501,0.822,0.133,0.0,0.0,0.5,0.0,0.0,0.0,0.5
10402,-1,10.090438,6.369936,0.902,0.049,0.0,0.0,0.0,0.0,0.5,0.0,1.0
149266,-1,9.68999,1.0081795,0.622,0.351,0.25,0.167,0.0,0.0,0.889,0.0,0.5
40879,-1,11.987517,5.3547993,0.895,0.105,0.0,0.0,0.25,0.0,0.0,0.0,0.75
127844,-1,8.278427,2.4342637,0.826,0.174,0.143,0.286,0.0,0.0,0.0,1.0,0.286
132583,-1,6.677242,3.6954136,0.61,0.366,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41260,-1,10.60431,1.9242904,0.024,0.976,0.878,0.098,0.111,0.333,0.222,0.222,0.585
150053,-1,9.108147,5.0922384,0.875,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.5
53050,-1,8.912905,3.9829235,0.667,0.312,0.0,0.5,0.0,0.143,0.0,0.0,0.0
119760,-1,6.760298,2.9478216,0.071,0.893,1.0,1.0,0.5,0.0,0.5,0.0,0.44
105789,-1,4.8145885,3.249423,0.75,0.2,0.25,0.125,0.333,0.0,0.333,0.333,0.125
10221,-1,3.4094422,0.08988028,0.316,0.658,0.957,0.13,0.0,0.333,0.333,0.333,0.391
204258,-1,4.912209,2.4246526,0.559,0.382,0.583,0.333,0.0,0.091,0.091,0.364,0.5
247878,19,-0.08275802,1.7945039,0.422,0.533,0.261,0.043,0.0,0.118,0.412,0.294,0.0
115098,-1,10.188522,8.2458515,0.927,0.073,0.0,0.0,0.0,0.5,0.0,0.5,0.667
189466,1,8.603145,0.38122025,0.088,0.895,1.0,0.362,0.0,0.091,0.545,0.0,0.298
14373,-1,7.2564726,6.5592513,0.915,0.043,0.0,0.0,0.0,0.5,0.25,0.25,1.0
192650,-1,11.313889,6.194529,0.863,0.078,0.25,0.75,0.0,0.5,0.0,0.0,0.5
161061,19,8.993497,2.9471526,0.468,0.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214332,-1,11.803306,8.379319,0.952,0.048,0.0,0.0,0.0,0.0,0.0,0.25,1.0
259908,-1,2.8952458,1.7485346,0.441,0.529,0.556,0.333,0.167,0.333,0.0,0.25,0.0
115559,-1,9.363653,0.87490994,0.486,0.457,0.25,0.062,0.077,0.0,0.923,0.0,0.688
57345,3,10.753143,2.2840295,0.042,0.896,1.0,0.279,0.333,0.0,0.0,0.0,0.279
222675,-1,10.174708,5.210269,0.932,0.023,0.0,0.0,0.4,0.15,0.0,0.0,1.0
23221,-1,3.6288033,0.15529484,0.0,1.0,1.0,0.907,0.0,0.286,0.0,0.286,0.326
45135,-1,11.541062,6.0501404,0.93,0.047,0.0,0.0,0.333,0.0,0.0,0.222,0.5
109010,-1,7.85166,5.4287915,0.93,0.023,0.0,0.0,0.0,0.5,0.0,0.5,0.0
102306,10,7.89381,8.860838,0.659,0.341,0.3,0.0,0.0,0.25,0.5,0.0,0.7
137541,19,1.9325815,2.2273242,0.86,0.116,0.4,0.0,0.0,0.5,0.0,0.5,0.2
277634,-1,8.415184,5.6714478,0.848,0.13,0.0,0.0,0.0,0.692,0.077,0.0,0.4
172535,-1,3.826335,1.57953,0.875,0.075,1.0,0.333,0.0,1.0,0.0,0.0,0.0
237991,-1,7.606132,0.29486367,0.738,0.238,0.4,0.0,1.0,0.0,0.0,0.0,0.1
261903,19,0.4111937,2.1450548,0.775,0.2,0.125,0.125,0.071,0.071,0.0,0.571,0.0
184208,-1,3.90357,-0.28104126,0.263,0.737,0.357,0.036,0.0,0.217,0.0,0.652,0.214
150786,-1,8.49836,6.3312135,0.939,0.041,0.0,0.0,0.0,0.5,0.0,0.0,0.5
204079,-1,3.44456,0.31017128,0.413,0.565,0.667,0.63,0.2,0.2,0.0,0.4,0.0
140734,-1,8.8624,5.284217,0.81,0.19,0.2,0.8,0.167,0.5,0.0,0.167,0.4
254871,-1,11.861333,2.6752093,0.686,0.257,0.0,0.125,0.0,0.04,0.04,0.04,0.125
101960,-1,11.832683,3.2993069,0.487,0.513,0.2,0.4,0.182,0.182,0.0,0.045,1.0
30292,19,11.335938,7.190186,0.741,0.185,0.0,0.0,0.526,0.053,0.0,0.0,0.4
25250,-1,7.22651,0.50356877,0.795,0.159,0.143,0.429,0.0,0.0,0.0,0.0,0.286
179978,-1,6.780489,1.3898954,0.594,0.312,0.2,0.4,0.0,0.0,0.75,0.0,0.0
130239,-1,11.326109,3.7364776,0.9,0.075,0.0,0.667,0.0,0.0,0.0,0.0,1.0
218764,17,4.9037704,5.378241,0.907,0.07,0.0,0.0,0.0,0.75,0.083,0.0,0.667
82959,19,8.912843,4.6340775,0.75,0.227,0.167,0.167,0.679,0.0,0.036,0.107,0.833
234728,-1,4.958425,2.2786222,0.686,0.314,0.727,0.0,0.0,0.0,0.75,0.25,0.545
153205,8,5.3415318,2.5442424,0.351,0.649,0.429,0.429,0.0,0.5,0.167,0.333,0.0
256381,19,8.621075,3.3639355,0.353,0.618,0.0,0.0,0.0,0.0,0.4,0.0,0.0
