,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6467343594836147,0.28030775692143206,0.0,1.0,2014,0.31213853028798416,0.28825586342144954,0.0,1.0,2014,0.30555064548162864,0.35109995939534416,0.0,1.0,2014,0.1620575968222443,0.24870622139332563,0.0,1.0,2014,0.10178848063555114,0.18531292782333186,0.0,1.0,2014,0.16457795431976166,0.25094456953720756,0.0,1.0,2014,0.14637785501489572,0.2707197298082805,0.0,1.0,2014,0.1497408142999007,0.24465335301628,0.0,1.0,2014,0.38918023833167825,0.31524125675740733,0.0,1.0,2014
0,0.5000909090909091,0.2900639427938104,0.062,0.927,11,0.4703636363636364,0.296371143240118,0.049,0.906,11,0.5203636363636364,0.37368871343065013,0.0,1.0,11,0.27036363636363636,0.2534463543739672,0.0,0.75,11,0.02045454545454545,0.03716009589967076,0.0,0.091,11,0.21309090909090908,0.17228723373799615,0.0,0.5,11,0.25663636363636366,0.29297142274538407,0.0,0.8,11,0.20863636363636362,0.2531494707587882,0.0,0.667,11,0.3743636363636364,0.2584330755639737,0.0,0.833,11
1,0.7573846153846154,0.21509166203487085,0.2,0.958,13,0.1930769230769231,0.22743843912088302,0.021,0.8,13,0.22115384615384615,0.23629425375783975,0.0,0.667,13,0.1300769230769231,0.2099204061616615,0.0,0.641,13,0.13,0.18898765391774497,0.0,0.5,13,0.020615384615384615,0.050455489396659406,0.0,0.143,13,0.19692307692307692,0.3099073682942646,0.0,0.857,13,0.14376923076923076,0.2477364708200207,0.0,0.75,13,0.5856923076923077,0.3312744040357341,0.0,1.0,13
2,0.4298048780487805,0.25838704048763794,0.0,0.9,82,0.4415731707317074,0.3114315425435531,0.023,0.975,82,0.28073170731707314,0.3560393600373624,0.0,1.0,82,0.18697560975609756,0.2967821238339691,0.0,1.0,82,0.12642682926829268,0.21820253534685993,0.0,0.841,82,0.119,0.2147998781524817,0.0,1.0,82,0.1384512195121951,0.2734499368466875,0.0,1.0,82,0.14241463414634148,0.23321314106609403,0.0,0.867,82,0.3144512195121951,0.3255642832519541,0.0,1.0,82
3,0.7087499999999999,0.28102931746123444,0.088,0.956,12,0.24525,0.2920682127673104,0.0,0.882,12,0.34,0.38845100311130853,0.0,1.0,12,0.39516666666666667,0.40639542618519026,0.0,1.0,12,0.10066666666666667,0.11793166999529342,0.0,0.333,12,0.18258333333333332,0.2802529566248494,0.0,0.818,12,0.07008333333333333,0.12361631131951165,0.0,0.375,12,0.09000000000000001,0.120074976577137,0.0,0.333,12,0.2795,0.2673698493915056,0.0,1.0,12
4,0.6895384615384615,0.24386116794350274,0.179,0.911,13,0.26469230769230767,0.2471707859677139,0.061,0.757,13,0.1614615384615385,0.21031865323227011,0.0,0.571,13,0.11553846153846153,0.2091441350618497,0.0,0.571,13,0.21923076923076923,0.23108661934656805,0.0,0.636,13,0.08976923076923077,0.27735781758291755,0.0,1.0,13,0.29830769230769233,0.4128228806270684,0.0,1.0,13,0.015615384615384616,0.03395226664386945,0.0,0.111,13,0.5702307692307692,0.3165523005355655,0.0,1.0,13
5,0.7014363636363636,0.20594549473427867,0.167,0.953,55,0.2536909090909091,0.21268668250698003,0.0,0.829,55,0.14525454545454544,0.23520127063950508,0.0,1.0,55,0.1841090909090909,0.2926393731089559,0.0,1.0,55,0.1416181818181818,0.22486691462491612,0.0,1.0,55,0.0747090909090909,0.15139030654511837,0.0,0.5,55,0.21485454545454546,0.3407863139630343,0.0,1.0,55,0.10761818181818181,0.20163998821782558,0.0,1.0,55,0.5196545454545455,0.29481979544208314,0.0,1.0,55
6,0.6817692307692307,0.23931922678233006,0.128,0.925,13,0.27838461538461534,0.2369442756084007,0.065,0.872,13,0.15553846153846151,0.20258562608792338,0.0,0.5,13,0.11976923076923077,0.17943343884114513,0.0,0.571,13,0.18876923076923077,0.3053779499369467,0.0,1.0,13,0.1893846153846154,0.32591449248270077,0.0,1.0,13,0.05607692307692307,0.10093105034169081,0.0,0.333,13,0.056615384615384616,0.10902105183674271,0.0,0.286,13,0.2956153846153846,0.28472019553166533,0.0,0.75,13
7,0.5805833333333333,0.24833425360821956,0.075,0.915,12,0.37883333333333336,0.2530382052839716,0.043,0.925,12,0.2594166666666667,0.2679550363683271,0.0,0.857,12,0.28175,0.30797110992015886,0.0,0.8,12,0.10533333333333332,0.20777012355587662,0.0,0.714,12,0.16425,0.2246775972972667,0.0,0.667,12,0.13425,0.277742891243617,0.0,1.0,12,0.17658333333333334,0.2995164157994238,0.0,1.0,12,0.3681666666666667,0.24114380218727027,0.0,0.75,12
8,0.6101860465116279,0.2937415656997015,0.018,0.976,43,0.3557674418604651,0.29739038294321096,0.02,0.982,43,0.43986046511627913,0.3570809286285879,0.0,1.0,43,0.2176279069767442,0.25155014867396897,0.0,0.9,43,0.07162790697674419,0.1383907551371106,0.0,0.531,43,0.25616279069767445,0.32869843830539797,0.0,1.0,43,0.18358139534883722,0.27774073492396084,0.0,0.962,43,0.13404651162790698,0.21539918130988822,0.0,1.0,43,0.236046511627907,0.2235769765692059,0.0,0.714,43
9,0.5700000000000001,0.3299611809779765,0.0,0.955,43,0.38525581395348835,0.3377035959467905,0.023,1.0,43,0.45409302325581397,0.3921702627050732,0.0,1.0,43,0.2583720930232558,0.2956279855990033,0.0,1.0,43,0.19593023255813954,0.27726696739259704,0.0,1.0,43,0.20169767441860464,0.25647960420940946,0.0,1.0,43,0.09748837209302326,0.17142294841276332,0.0,0.688,43,0.16951162790697674,0.26745906425479155,0.0,1.0,43,0.3524186046511628,0.19690585526109144,0.0,0.714,43
10,0.7430000000000001,0.19063009556031107,0.171,0.977,13,0.2226923076923077,0.2009317399082686,0.0,0.829,13,0.2366923076923077,0.24538961694123101,0.0,0.69,13,0.07038461538461539,0.10583362608479599,0.0,0.333,13,0.1516153846153846,0.2280166435670645,0.0,0.6,13,0.25453846153846155,0.30468743967783757,0.0,1.0,13,0.18361538461538462,0.2617978031679979,0.0,0.875,13,0.08461538461538462,0.1984735660239328,0.0,0.667,13,0.306,0.31574620610019477,0.0,0.889,13
11,0.6756153846153846,0.22109181292754765,0.132,0.905,13,0.286,0.2344696142360455,0.068,0.842,13,0.3575384615384615,0.3476891848055807,0.0,0.933,13,0.2785384615384615,0.35135395623801163,0.0,1.0,13,0.0826923076923077,0.11832468368531888,0.0,0.333,13,0.264,0.311555773498101,0.0,0.9,13,0.21346153846153845,0.3023584008492282,0.0,1.0,13,0.025615384615384616,0.09235758267150065,0.0,0.333,13,0.3951538461538462,0.31415968502070357,0.0,1.0,13
12,0.7526875,0.24598628830131586,0.114,1.0,32,0.21484375,0.2473292319802402,0.0,0.829,32,0.1758125,0.29942627263140337,0.0,1.0,32,0.147875,0.28094825031460635,0.0,1.0,32,0.18106250000000002,0.269349986676407,0.0,1.0,32,0.15765625,0.2519721706823734,0.0,1.0,32,0.20878125,0.35321096084762604,0.0,1.0,32,0.025875000000000002,0.07085730777073124,0.0,0.333,32,0.60421875,0.2859478561054276,0.0,1.0,32
